Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-30 since:2024-10-29&src=typed_query",Raúl Sánchez Carrillo,https://x.com/scarrillotv,scarrillotv,False,2024-10-29 22:34:26+00:00,False,Ministros de SCJN que ya renunciaron por Reforma al Poder Judicial https://t.co/g27zFQY6oR,1851392173444603919,0,0,0,15,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-30 since:2024-10-29&src=typed_query",AD Noticias,https://x.com/ADNoticiasMex,ADNoticiasMex,True,2024-10-29 18:09:00+00:00,False,"🗳️En junio de 2025, el #Edomex llevará a cabo una elección para designar a 54 jueces y magistrados federales.
https://t.co/Z6fGZrBo62",1851325376103956891,0,1,2,193,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-30 since:2024-10-29&src=typed_query",CNN México,https://x.com/CNNMex,CNNMex,True,2024-10-29 00:02:19+00:00,False,Ministro de Suprema Corte de Justicia de México plantea cambios a la reforma al poder judicial https://t.co/mHziJVfmMz,1851051904677105864,0,0,0,172,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",Karla Chavarría ⚖️,https://x.com/abogada_karlach,abogada_karlach,False,2024-10-30 02:50:36+00:00,False,"📍 👁️ Reforma Judicial en #Edomex
Los diputados del Partido del Trabajo #EdoMex Isaac Josué Hernández Méndez y Yareli Anai Esparza Acevedo, presentarán, en la próxima sesión deliberante Legislatura local, una iniciativa de reforma a la Constitución. 🧵

https://t.co/s0mxrvshH3",1851456641046094218,2,0,0,100,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",JaimeDarthVader,https://x.com/darth_jaime,darth_jaime,False,2024-10-30 18:18:15+00:00,False,"@violetamg10078 #JuicioPoliticoANormaPiñaYComplices 
@NormaPinaH co®®upta
#JuicioPolíticoA8Ministros 
sigamos adelante con el Decreto en materia de reforma Poder Judicial del 15/09/2024 ya constitucional

fuera los co®®uptos ministros y jueces",1851690094568071430,1,1,3,96,0,,True,violetamg10078,https://x.com/violetamg10078,🌸 Violeta 🌸,violetamg10078,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",Karla Chavarría ⚖️,https://x.com/abogada_karlach,abogada_karlach,False,2024-10-30 02:58:26+00:00,False,"📍👁️ Proceso general de la reforma #Edomex
El consejero jurídico del gobierno mexiquense, Jesús George Zamora, destacó que la iniciativa se presentará durante el actual periodo de sesiones, con la meta de que se apruebe antes de que finalice el año.  🧵👇🏻

https://t.co/s0mxrvshH3",1851458611349737497,1,0,0,77,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",Isao Love,https://x.com/IsaoLove188698,IsaoLove188698,False,2024-10-30 03:45:00+00:00,False,"Ministros de SCJN que ya renunciaron por Reforma al Poder Judicial
¡No aceptan la Reforma al Poder Judicial! Los ministros de la SCJN ratificaron que no participarán en el proceso electoral para renovar la Corte.
Con el ya son dos
https://t.co/aaod0zYpwt",1851470331300757592,0,0,0,20,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",El Gráfico,https://x.com/elgmx,elgmx,False,2024-10-30 19:28:24+00:00,False,🧐SUELTAN VERDADES🧐 Reforma Judicial se llevó el Detector de Mentiras de esta semana   https://t.co/qf2i3sXRCO,1851707745466282000,0,1,2,457,1,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-10-31 since:2024-10-30&src=typed_query",adn40,https://x.com/adn40,adn40,True,2024-10-30 17:40:00+00:00,False,"¡Atención!🚨 Ellos son los ministros y ministras de la @SCJN que ya renunciaron a su cargo
https://t.co/P8lBphtWPZ",1851680465905684883,0,1,4,659,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-02 since:2024-11-01&src=typed_query",Joaquin Alayola Badillo,https://x.com/makaluende,makaluende,False,2024-11-01 17:21:19+00:00,False,"Carmen Aristegui, @aristeguicnn le recuerdo q hoy vence plazo 5 días hábiles q' tiene la presidente Claudia para contesta la orden de bajar del DO publicación  
 ""reforma poder judicial "". Que procede? @aris",1852400542242484312,0,0,1,40,0,,False,,,,,es
